Name,Type,Breed,Age,Color,Shelter Name,Shelter City,Shelter State,Adoption Date
Michael,Dog,Bulldog,12,White,Whiskers and Tails Sanctuary,Port Tylerborough,Louisiana,05/27/24 15:04:24
Christopher,Cat,Maine Coon,9,Cream,Pawsitive Outcomes Rescue,New Donnaside,Nebraska,05/27/24 15:20:01
Sarah,Cat,Scottish Fold,7,Cream,Furry Companions Shelter,Lake Krystal,Louisiana,05/27/24 15:42:25
Mark,Cat,Oriental Shorthair,10,Black,Second Chance Animal Shelter,Port Brenda,Kentucky,05/27/24 15:51:02
Seth,Dog,Dachshund,15,Striped,Barks and Meows Haven,Spencerville,Vermont,05/27/24 15:54:23
Malik,Dog,Golden Retriever,11,Cream,Barks and Meows Haven,Andreaton,Nebraska,05/27/24 16:12:17
Sharon,Dog,Yorkshire Terrier,9,Red,Furever Friends Sanctuary,Robertsonview,Minnesota,05/27/24 16:15:00
Daniel,Cat,Sphynx,1,White,Faithful Friends Animal Shelter,New Kimberly,Vermont,05/27/24 16:15:03
William,Cat,Scottish Fold,13,Cream,Furry Companions Shelter,West Jennifermouth,South Dakota,05/27/24 16:23:35
Gina,Cat,Sphynx,15,Spotted,Cuddle Buddies Rescue,Rodgershaven,West Virginia,05/27/24 16:40:34
Ann,Dog,Dachshund,1,Red,Loving Paws Rescue,Lawrenceview,Utah,05/27/24 17:31:00
April,Dog,Poodle,6,Spotted,Animal Haven Rescue,West Chelseaburgh,Kansas,05/27/24 17:46:21
James,Cat,Sphynx,15,Spotted,Furever Friends Sanctuary,Snyderborough,Pennsylvania,05/27/24 17:48:07
Jessica,Dog,German Shepherd,10,Golden,Wagging Tails Shelter,West Erica,Tennessee,05/27/24 18:13:45
Jennifer,Cat,Maine Coon,5,Brown,Barks and Meows Haven,New Jason,Indiana,05/27/24 18:23:53
Charles,Dog,Boxer,15,Blue,Paws and Claws Shelter,Lake Edwardview,Mississippi,05/27/24 18:24:35
Amanda,Dog,Poodle,8,Brown,Safe Haven Animal Shelter,Wardberg,Maryland,05/27/24 19:04:26
Matthew,Dog,Labrador Retriever,4,Black,Paws and Claws Shelter,East Joseville,North Dakota,05/27/24 20:16:02
Lisa,Cat,British Shorthair,9,Blue,Barks and Meows Haven,Trujillohaven,Texas,05/27/24 20:24:28
Jay,Dog,German Shepherd,11,Cream,Paws and Claws Shelter,Lake Gabrieltown,West Virginia,05/27/24 20:25:38
Stacey,Cat,Oriental Shorthair,8,Golden,Rescue Me Animal Shelter,Freyberg,Wyoming,05/27/24 20:34:31
Emily,Dog,German Shepherd,10,Cream,Happy Paws Rescue,West Sarahland,Indiana,05/27/24 20:45:34
Jeffrey,Cat,Siamese,1,Brown,Pawsitive Outcomes Rescue,Jayville,Vermont,05/27/24 20:57:58
Lisa,Cat,Maine Coon,4,Blue,Safe Haven Animal Shelter,Port Kelly,Indiana,05/27/24 21:05:34
Rebecca,Cat,Sphynx,3,Striped,Furry Companions Shelter,East Jacob,Maine,05/27/24 21:25:27
Heather,Dog,Bulldog,11,Red,Furry Friends Haven,Mitchellfort,Colorado,05/27/24 21:26:25
Gary,Cat,Scottish Fold,1,White,Furry Friends Haven,Lonniechester,Hawaii,05/27/24 21:28:04
Amy,Cat,Birman,3,Gray,Loving Paws Rescue,Port Stanleyshire,Connecticut,05/27/24 21:38:18
Charles,Cat,Siamese,9,Cream,Safe Haven Animal Shelter,Lake Mark,North Carolina,05/27/24 21:59:02
Vanessa,Dog,Rottweiler,3,Cream,Paws and Claws Shelter,Camposshire,West Virginia,05/27/24 22:10:44
Bethany,Cat,Maine Coon,6,Blue,Pawsitive Outcomes Rescue,Smithview,Kansas,05/27/24 22:11:45
Joseph,Cat,Siamese,3,Red,Pawsitive Outcomes Rescue,South William,Arizona,05/27/24 23:45:17
Susan,Cat,Maine Coon,3,White,Furry Companions Shelter,Lake Ericfurt,Montana,05/28/24 00:06:45
Michael,Dog,German Shepherd,14,Striped,Faithful Friends Animal Shelter,South Travis,Alaska,05/28/24 00:21:35
Melissa,Dog,Boxer,8,Black,Second Chance Animal Shelter,Brianmouth,Maine,05/28/24 00:25:02
Amy,Cat,Abyssinian,7,White,Pet Haven Rescue,South Robertland,Missouri,05/28/24 00:49:08
Joshua,Cat,British Shorthair,2,Cream,Pet Haven Rescue,South Jacob,Louisiana,05/28/24 00:58:46
Derek,Cat,Sphynx,13,Spotted,Pawsitive Outcomes Rescue,Port Christina,Illinois,05/28/24 00:59:36
Cynthia,Cat,Siamese,6,Blue,Four-Legged Friends Rescue,North Randymouth,Alabama,05/28/24 01:18:02
Michael,Cat,Siamese,10,Cream,Four-Legged Friends Rescue,North Kristin,Rhode Island,05/28/24 01:26:25
Sheri,Cat,Scottish Fold,5,Red,Paws and Claws Shelter,Kaylamouth,Kentucky,05/28/24 01:45:51
Brendan,Dog,Beagle,6,Red,Second Chance Animal Shelter,East Brittanyhaven,Illinois,05/28/24 02:00:46
Danielle,Dog,German Shepherd,15,Cream,Loving Paws Rescue,West Christopherchester,South Dakota,05/28/24 02:04:09
Amy,Dog,Boxer,3,Striped,Second Chance Animal Shelter,East Amyfort,Arkansas,05/28/24 02:14:37
Nina,Cat,Birman,2,Blue,Safe Haven Animal Shelter,Whitestad,Idaho,05/28/24 02:29:46
Cody,Cat,Maine Coon,1,Red,Furry Friends Haven,Lake Rachelhaven,Ohio,05/28/24 02:46:44
Misty,Cat,Birman,7,Striped,Furry Friends Haven,Matthewstad,Utah,05/28/24 03:07:17
Ronald,Cat,Abyssinian,8,Cream,Happy Paws Rescue,Linmouth,Massachusetts,05/28/24 03:07:18
Christopher,Cat,Birman,10,Brown,Faithful Friends Animal Shelter,West Lisaport,Oregon,05/28/24 03:30:28
Leslie,Dog,Yorkshire Terrier,11,Cream,Hopeful Hearts Animal Shelter,Melissaview,Delaware,05/28/24 04:14:08
Sheila,Dog,Labrador Retriever,7,Striped,Pawsitive Outcomes Rescue,South Markside,Kansas,05/28/24 04:42:12
Kimberly,Dog,Boxer,5,Black,Second Chance Animal Shelter,Abbottland,Idaho,05/28/24 04:43:20
Diana,Dog,Rottweiler,10,Red,Second Chance Animal Shelter,Elizabethmouth,Minnesota,05/28/24 05:20:15
Tina,Cat,Oriental Shorthair,9,Gray,Safe Haven Animal Shelter,Andrewsfort,Illinois,05/28/24 05:55:38
Mary,Dog,Labrador Retriever,6,Gray,Hopeful Hearts Animal Shelter,New Nathan,Rhode Island,05/28/24 06:00:47
Kelly,Dog,Golden Retriever,14,Brown,Happy Paws Rescue,West Kristinside,Iowa,05/28/24 06:55:40
Mark,Cat,Maine Coon,4,Spotted,Fur-Ever Homes Shelter,Port Michelle,Oregon,05/28/24 07:11:12
Brian,Dog,Labrador Retriever,6,Black,Faithful Friends Animal Shelter,North Mary,Mississippi,05/28/24 07:24:11
Zoe,Dog,Dachshund,5,Blue,Second Chance Animal Shelter,East Samantha,Alabama,05/28/24 07:24:36
Eric,Cat,Scottish Fold,15,Blue,Barks and Meows Haven,Lake Matthewmouth,Oregon,05/28/24 07:30:53
Robert,Dog,Bulldog,10,Black,Pet Haven Rescue,Adamsville,Vermont,05/28/24 08:24:11
Natalie,Dog,Rottweiler,3,Black,Wagging Tails Shelter,Huntport,Alaska,05/28/24 08:59:33
Gabriel,Cat,Maine Coon,11,Gray,Happy Paws Rescue,Whitneybury,Wyoming,05/28/24 09:03:17
Eric,Dog,Poodle,14,Striped,Rescue Me Animal Shelter,Lake Bryanview,Michigan,05/28/24 09:11:01
Brian,Cat,Abyssinian,8,Blue,Second Chance Animal Shelter,Christophermouth,South Carolina,05/28/24 09:23:17
Paul,Dog,Labrador Retriever,1,Spotted,Furry Friends Haven,Lake Daniel,Nebraska,05/28/24 09:29:35
Scott,Cat,Maine Coon,15,Black,Wagging Tails Shelter,West Matthewfurt,Arizona,05/28/24 10:02:12
Kelsey,Cat,Birman,11,Striped,Paws and Claws Shelter,Karenland,West Virginia,05/28/24 10:13:43
Kevin,Dog,Bulldog,11,Golden,Faithful Friends Animal Shelter,East Christophermouth,Pennsylvania,05/28/24 10:29:49
Mikayla,Cat,Sphynx,3,Golden,Cuddle Buddies Rescue,Kennethtown,Virginia,05/28/24 10:36:37
Christopher,Cat,Sphynx,3,Spotted,Safe Haven Animal Shelter,East Ralph,Colorado,05/28/24 10:38:40
Zachary,Dog,German Shepherd,14,Red,Faithful Friends Animal Shelter,South Williamstad,Massachusetts,05/28/24 10:46:16
Jason,Cat,Ragdoll,14,Gray,Furry Companions Shelter,Robertstad,Delaware,05/28/24 10:46:40
Nicholas,Cat,Scottish Fold,1,White,Second Chance Animal Shelter,Lake Lisa,Hawaii,05/28/24 11:08:03
Natalie,Dog,Poodle,6,Black,Fur-Ever Homes Shelter,Wolfetown,Tennessee,05/28/24 12:18:11
Joseph,Dog,Labrador Retriever,10,Golden,Happy Paws Rescue,Watkinsside,Georgia,05/28/24 12:34:20
Cristina,Dog,Labrador Retriever,12,White,Whiskers and Tails Sanctuary,Michaelshire,Virginia,05/28/24 13:25:01
Jillian,Cat,Maine Coon,13,Striped,Whiskers and Tails Sanctuary,New Annette,Wisconsin,05/28/24 13:28:01
Laura,Dog,Poodle,7,Red,Hopeful Hearts Animal Shelter,South Sean,Virginia,05/28/24 13:31:02
Crystal,Dog,Beagle,1,Red,Second Chance Animal Shelter,West Barryville,Idaho,05/28/24 13:33:27
Jeremy,Dog,Rottweiler,2,White,Barks and Meows Haven,Adamsland,Wisconsin,05/28/24 13:41:45
Calvin,Dog,Rottweiler,10,Striped,Pawsitive Outcomes Rescue,Joshuaberg,Utah,05/28/24 13:44:21
Tiffany,Cat,Oriental Shorthair,7,Brown,Safe Haven Animal Shelter,Isaacfurt,Oregon,05/28/24 14:05:55
John,Dog,Dachshund,7,Cream,Furever Friends Sanctuary,Castrochester,California,05/28/24 14:19:27
Eric,Cat,Scottish Fold,12,Black,Rescue Me Animal Shelter,West Christianmouth,Oklahoma,05/28/24 14:43:43
Karla,Cat,Abyssinian,9,Striped,Faithful Friends Animal Shelter,East Lindaburgh,Alabama,05/28/24 15:36:05
Marcus,Cat,Scottish Fold,15,Brown,Happy Paws Rescue,Clarktown,Minnesota,05/28/24 15:43:52
Robert,Dog,Dachshund,4,Brown,Fur-Ever Homes Shelter,Jonesside,Nebraska,05/28/24 16:29:39
Gina,Dog,Boxer,10,Striped,Happy Paws Rescue,South Crystalview,Vermont,05/28/24 16:51:24
David,Cat,Oriental Shorthair,8,Brown,Pawsitive Outcomes Rescue,North Johnny,Maryland,05/28/24 16:53:14
Brenda,Dog,Labrador Retriever,7,Black,Furry Companions Shelter,Wilsontown,New Hampshire,05/28/24 16:55:44
Susan,Cat,Maine Coon,2,Gray,Furry Friends Haven,South Brittany,Mississippi,05/28/24 17:01:17
Steven,Dog,Golden Retriever,7,Spotted,Pawsitive Outcomes Rescue,Gardnermouth,Wisconsin,05/28/24 17:05:00
Tammy,Dog,Yorkshire Terrier,12,Blue,Second Chance Animal Shelter,New Ryan,Connecticut,05/28/24 17:17:12
Holly,Dog,Golden Retriever,15,Red,Cuddle Buddies Rescue,East Emilymouth,New York,05/28/24 17:32:27
Sheila,Dog,Dachshund,9,Brown,Faithful Friends Animal Shelter,West Bryanmouth,Ohio,05/28/24 18:26:23
Scott,Dog,Golden Retriever,12,White,Paws and Claws Shelter,North Chad,Indiana,05/28/24 18:35:45
Kimberly,Cat,British Shorthair,11,Spotted,Wagging Tails Shelter,Andrewfort,Louisiana,05/28/24 18:37:07
Christopher,Cat,Ragdoll,3,Red,Whiskers and Tails Sanctuary,Lake Courtney,Hawaii,05/28/24 19:20:17
Tina,Cat,Sphynx,2,Cream,Wagging Tails Shelter,South Ryanmouth,Virginia,05/28/24 19:21:32
Sonya,Dog,Boxer,9,Spotted,Four-Legged Friends Rescue,Port Ryan,North Carolina,05/28/24 19:56:33
William,Dog,Golden Retriever,1,White,Animal Haven Rescue,New Gregoryburgh,Michigan,05/28/24 19:57:37
Anthony,Dog,German Shepherd,7,Cream,Furever Friends Sanctuary,East Steven,North Carolina,05/28/24 20:31:42
Andrew,Dog,German Shepherd,6,Golden,Wagging Tails Shelter,Dayhaven,Massachusetts,05/28/24 20:57:26
Jennifer,Cat,Abyssinian,14,Red,Animal Haven Rescue,Jasminebury,Utah,05/28/24 21:15:35
Rachael,Dog,Rottweiler,15,Red,Furever Friends Sanctuary,South Angelastad,Wisconsin,05/28/24 22:15:05
Judy,Dog,German Shepherd,9,White,Safe Haven Animal Shelter,West Dominique,North Carolina,05/28/24 22:31:28
Megan,Cat,British Shorthair,4,Black,Whiskers and Tails Sanctuary,West Dustinstad,Tennessee,05/28/24 23:13:38
Katrina,Dog,Dachshund,11,White,Cuddle Buddies Rescue,Port Anna,South Dakota,05/28/24 23:26:38
Lisa,Cat,Ragdoll,14,Black,Faithful Friends Animal Shelter,Chavezfort,Louisiana,05/29/24 00:06:15
Briana,Cat,British Shorthair,9,Golden,Furry Companions Shelter,Dennisberg,Florida,05/29/24 00:21:40
Corey,Dog,Beagle,13,Brown,Cuddle Buddies Rescue,Danielburgh,Kansas,05/29/24 00:36:39
Patricia,Cat,Abyssinian,4,Spotted,Furry Friends Haven,South Katherinemouth,North Carolina,05/29/24 00:39:28
Kevin,Cat,Maine Coon,5,White,Furry Friends Haven,Barrburgh,Oklahoma,05/29/24 00:54:06
Melissa,Cat,Maine Coon,4,Black,Four-Legged Friends Rescue,Johnsonmouth,Washington,05/29/24 01:09:56
Carla,Dog,Dachshund,10,Blue,Whiskers and Tails Sanctuary,Carrillofurt,Pennsylvania,05/29/24 01:22:44
John,Dog,Yorkshire Terrier,2,Golden,Animal Haven Rescue,Wallaceside,Louisiana,05/29/24 01:23:13
Nancy,Dog,Rottweiler,9,Spotted,Wagging Tails Shelter,Port Nicoletown,Colorado,05/29/24 01:26:22
Kristina,Dog,German Shepherd,14,Gray,Second Chance Animal Shelter,Walterberg,Maryland,05/29/24 01:45:19
Walter,Cat,Persian,6,Blue,Wagging Tails Shelter,Port William,Missouri,05/29/24 02:20:05
Deborah,Dog,Yorkshire Terrier,13,White,Four-Legged Friends Rescue,East Jennifer,Florida,05/29/24 02:32:57
Linda,Dog,Poodle,4,Spotted,Happy Paws Rescue,East Dustin,Maryland,05/29/24 02:35:55
Travis,Cat,Persian,10,Red,Happy Paws Rescue,New Samuelville,South Dakota,05/29/24 02:40:20
Danielle,Dog,German Shepherd,13,Golden,Cuddle Buddies Rescue,South Lauren,Iowa,05/29/24 03:10:21
Harry,Cat,Sphynx,14,Black,Animal Haven Rescue,North Jonview,South Dakota,05/29/24 03:26:28
Lisa,Dog,Yorkshire Terrier,11,Cream,Loving Paws Rescue,Davidhaven,West Virginia,05/29/24 03:40:34
Julie,Dog,Poodle,9,Spotted,Second Chance Animal Shelter,Jacobmouth,Virginia,05/29/24 03:46:38
Jerry,Cat,Maine Coon,8,Red,Loving Paws Rescue,Lunafurt,Mississippi,05/29/24 03:55:24
Justin,Cat,Scottish Fold,1,Golden,Happy Paws Rescue,Erikafort,Pennsylvania,05/29/24 03:56:28
Chad,Dog,Boxer,11,Striped,Furever Friends Sanctuary,Kerrfort,Colorado,05/29/24 04:16:08
Amy,Cat,Siamese,11,Blue,Furry Friends Haven,Davidburgh,New Mexico,05/29/24 04:30:36
Fernando,Dog,Bulldog,10,Cream,Furry Friends Haven,South Brian,Minnesota,05/29/24 05:46:42
Shelia,Cat,Oriental Shorthair,14,Spotted,Pawsitive Outcomes Rescue,South Eric,Massachusetts,05/29/24 06:00:59
Cheryl,Dog,Dachshund,5,White,Furever Friends Sanctuary,Amymouth,Connecticut,05/29/24 06:13:37
Teresa,Cat,Sphynx,9,Spotted,Pawsitive Outcomes Rescue,Brownville,Maryland,05/29/24 06:17:49
Rachel,Dog,Beagle,8,Red,Fur-Ever Homes Shelter,Tinamouth,North Dakota,05/29/24 07:04:56
Christopher,Cat,Abyssinian,8,Striped,Furry Companions Shelter,Lynnshire,Arizona,05/29/24 07:14:34
Jeremiah,Dog,German Shepherd,5,Spotted,Furry Friends Haven,Lake Nicoleview,Massachusetts,05/29/24 07:31:22
Richard,Cat,Birman,15,Cream,Pawsitive Outcomes Rescue,Grayland,Delaware,05/29/24 07:35:22
Bobby,Cat,British Shorthair,8,Golden,Furever Friends Sanctuary,East Angelafort,North Carolina,05/29/24 08:31:20
Richard,Dog,Rottweiler,10,Gray,Rescue Me Animal Shelter,Jennifermouth,Wyoming,05/29/24 08:42:21
Diana,Dog,Beagle,4,Brown,Safe Haven Animal Shelter,Richview,North Dakota,05/29/24 08:47:41
Melissa,Dog,Rottweiler,11,Red,Fur-Ever Homes Shelter,South Christopherborough,Illinois,05/29/24 08:50:05
Andrew,Dog,Bulldog,11,Striped,Paws and Claws Shelter,Vasquezland,Virginia,05/29/24 09:04:16
Robert,Dog,Yorkshire Terrier,8,White,Happy Paws Rescue,Gonzalezside,Maine,05/29/24 09:07:49
Douglas,Cat,Abyssinian,2,White,Happy Paws Rescue,South Charles,Ohio,05/29/24 09:12:02
Crystal,Cat,Persian,7,Blue,Animal Haven Rescue,Jamesburgh,Wisconsin,05/29/24 10:22:13
Marissa,Cat,British Shorthair,4,Spotted,Furry Companions Shelter,West Samanthafort,Vermont,05/29/24 11:09:29
Adam,Dog,Dachshund,11,Gray,Furever Friends Sanctuary,Maddenhaven,Washington,05/29/24 11:20:27
Frank,Cat,Scottish Fold,8,Gray,Faithful Friends Animal Shelter,Port Micheleburgh,Maryland,05/29/24 11:30:53
Jessica,Dog,Bulldog,5,White,Fur-Ever Homes Shelter,New Richard,Illinois,05/29/24 11:34:07
Aaron,Cat,Oriental Shorthair,2,Red,Hopeful Hearts Animal Shelter,West Jessica,Massachusetts,05/29/24 11:35:15
Terri,Dog,German Shepherd,6,Black,Whiskers and Tails Sanctuary,East Michelle,Nebraska,05/29/24 11:46:26
Latoya,Dog,Beagle,8,Striped,Animal Haven Rescue,North Anthony,California,05/29/24 11:53:04
Valerie,Cat,Siamese,14,Red,Fur-Ever Homes Shelter,New Brandon,New Mexico,05/29/24 12:03:42
David,Dog,Dachshund,3,Spotted,Safe Haven Animal Shelter,West Marissa,Mississippi,05/29/24 12:04:18
Jacob,Cat,Siamese,9,Striped,Fur-Ever Homes Shelter,Bethanyfort,Indiana,05/29/24 12:19:06
Deborah,Dog,Rottweiler,3,Spotted,Cuddle Buddies Rescue,East Petermouth,Rhode Island,05/29/24 12:27:44
Megan,Dog,Bulldog,9,Cream,Hopeful Hearts Animal Shelter,West Thomastown,California,05/29/24 12:27:51
Daniel,Cat,Oriental Shorthair,11,Red,Safe Haven Animal Shelter,East Erinport,Alabama,05/29/24 12:38:19
Cameron,Dog,Poodle,12,Brown,Pet Haven Rescue,Adrianville,Hawaii,05/29/24 13:27:08
Jacqueline,Cat,Oriental Shorthair,8,Spotted,Second Chance Animal Shelter,West Colleenberg,Vermont,05/29/24 13:46:22
Chad,Dog,Boxer,11,Gray,Wagging Tails Shelter,Bassview,Pennsylvania,05/29/24 14:19:37
Emily,Dog,Yorkshire Terrier,15,Red,Faithful Friends Animal Shelter,South Grace,North Dakota,05/29/24 14:32:21
Melinda,Cat,Birman,2,Blue,Hopeful Hearts Animal Shelter,Singletonton,Colorado,05/29/24 14:35:14
Sarah,Cat,Abyssinian,7,Spotted,Animal Haven Rescue,Sampsonmouth,West Virginia,05/29/24 14:43:30
Adam,Dog,Rottweiler,12,Spotted,Furry Friends Haven,Tracymouth,Louisiana,05/29/24 14:57:40
Patrick,Dog,Yorkshire Terrier,4,Striped,Fur-Ever Homes Shelter,South Robert,California,05/29/24 15:28:02
David,Dog,Beagle,6,White,Whiskers and Tails Sanctuary,South Brittany,Colorado,05/29/24 15:48:54
Deanna,Dog,Boxer,6,Cream,Fur-Ever Homes Shelter,Port Richardton,Florida,05/29/24 16:08:55
Richard,Cat,British Shorthair,3,Golden,Pet Haven Rescue,Lake Jeremyfurt,Kentucky,05/29/24 16:29:32
Danny,Cat,Birman,9,White,Fur-Ever Homes Shelter,Port Michelleburgh,Alaska,05/29/24 16:35:19
Steven,Cat,Ragdoll,3,Black,Pet Haven Rescue,New Christopherberg,Ohio,05/29/24 16:47:08
George,Cat,Oriental Shorthair,14,Red,Furry Companions Shelter,New Taraland,Montana,05/29/24 16:47:48
Susan,Dog,Boxer,6,Striped,Happy Paws Rescue,West Gabriel,Kansas,05/29/24 17:20:02
Matthew,Cat,Abyssinian,8,Golden,Faithful Friends Animal Shelter,West Danielton,Kentucky,05/29/24 17:21:35
Terrance,Cat,Maine Coon,4,Golden,Barks and Meows Haven,Sarahside,Colorado,05/29/24 17:27:21
Johnny,Dog,Labrador Retriever,3,Red,Furever Friends Sanctuary,North Natalie,Virginia,05/29/24 17:46:09
Natasha,Cat,Ragdoll,2,White,Pet Haven Rescue,Johntown,Washington,05/29/24 17:59:38
Rebecca,Cat,Birman,12,White,Loving Paws Rescue,North Rileymouth,Colorado,05/29/24 18:02:16
Sally,Cat,Persian,4,Brown,Cuddle Buddies Rescue,New Sharon,Kansas,05/29/24 18:04:34
Nicholas,Dog,Dachshund,8,Cream,Fur-Ever Homes Shelter,Amyton,Minnesota,05/29/24 18:04:49
Hannah,Cat,Siamese,9,White,Furry Companions Shelter,Ashleyshire,Texas,05/29/24 18:07:21
Matthew,Cat,Persian,8,Golden,Pet Haven Rescue,Port Johnfort,Vermont,05/29/24 18:22:17
Monica,Dog,Poodle,12,Spotted,Four-Legged Friends Rescue,South Calebton,New Jersey,05/29/24 19:01:13
Manuel,Cat,Siamese,5,Cream,Happy Paws Rescue,Garnerberg,West Virginia,05/29/24 19:04:56
Alyssa,Dog,Boxer,11,Black,Animal Haven Rescue,Elizabethland,Montana,05/29/24 19:06:56
Matthew,Cat,British Shorthair,4,Spotted,Furever Friends Sanctuary,Campbellland,Rhode Island,05/29/24 19:37:30
Kathleen,Cat,Persian,4,Spotted,Loving Paws Rescue,Michaelfort,Iowa,05/29/24 20:01:12
Christopher,Cat,Sphynx,12,Spotted,Animal Haven Rescue,Andersonburgh,North Carolina,05/29/24 20:16:58
David,Dog,Rottweiler,11,Spotted,Four-Legged Friends Rescue,Benderton,Kentucky,05/29/24 20:17:59
Katherine,Cat,Siamese,12,Black,Furry Friends Haven,South Suzanne,Connecticut,05/29/24 20:37:25
Debbie,Cat,Ragdoll,14,Cream,Safe Haven Animal Shelter,Daniellestad,Mississippi,05/29/24 20:41:21
Daniel,Cat,Birman,9,Golden,Furry Companions Shelter,Mcmillanport,Minnesota,05/29/24 21:05:20
Todd,Dog,Beagle,2,Golden,Whiskers and Tails Sanctuary,Port Ryan,Rhode Island,05/29/24 21:15:49
Stephanie,Dog,Beagle,10,Red,Second Chance Animal Shelter,New Taylorfort,Arizona,05/29/24 21:32:44
Andrew,Cat,Birman,14,White,Second Chance Animal Shelter,Port Franklin,New Mexico,05/29/24 21:58:50
Linda,Dog,German Shepherd,15,Gray,Animal Haven Rescue,Kristinbury,Wyoming,05/29/24 22:02:28
Kimberly,Cat,Siamese,11,Gray,Furever Friends Sanctuary,Rileyport,California,05/29/24 22:39:38
Ana,Dog,Golden Retriever,4,Cream,Furry Companions Shelter,Heatherbury,Iowa,05/29/24 23:39:59
Paige,Dog,Poodle,14,Black,Barks and Meows Haven,Karafort,Utah,05/30/24 00:20:27
Barry,Dog,Bulldog,2,Striped,Fur-Ever Homes Shelter,Gregoryberg,Iowa,05/30/24 00:43:49
Robin,Cat,Ragdoll,2,Striped,Paws and Claws Shelter,Lake Jamieview,North Carolina,05/30/24 00:49:06
Sonya,Dog,Boxer,4,Spotted,Faithful Friends Animal Shelter,Rachelmouth,West Virginia,05/30/24 00:59:08
Scott,Cat,Birman,13,Spotted,Faithful Friends Animal Shelter,Heatherland,Ohio,05/30/24 01:10:04
Christopher,Dog,Poodle,2,Red,Cuddle Buddies Rescue,Port Kimberly,Oregon,05/30/24 01:51:21
William,Cat,Birman,3,Blue,Whiskers and Tails Sanctuary,South Andrew,Texas,05/30/24 01:54:22
Brandon,Dog,Bulldog,13,Brown,Cuddle Buddies Rescue,South Heather,West Virginia,05/30/24 01:57:45
Alexander,Cat,Oriental Shorthair,6,Gray,Happy Paws Rescue,South Melissa,Wisconsin,05/30/24 02:10:52
Christina,Dog,Bulldog,1,Golden,Furever Friends Sanctuary,North Travisberg,New Jersey,05/30/24 02:12:29
Brian,Dog,Poodle,11,Black,Furry Friends Haven,Port John,New Hampshire,05/30/24 02:35:42
William,Cat,Scottish Fold,8,Black,Hopeful Hearts Animal Shelter,Harriston,Oregon,05/30/24 03:00:46
Alicia,Dog,Poodle,7,White,Pet Haven Rescue,Edwardshire,Pennsylvania,05/30/24 04:02:04
Alexandria,Cat,British Shorthair,11,Gray,Fur-Ever Homes Shelter,West Kimberly,Indiana,05/30/24 04:10:10
Angela,Dog,Golden Retriever,7,Gray,Whiskers and Tails Sanctuary,Sheltonberg,Rhode Island,05/30/24 04:11:51
Kristin,Cat,Ragdoll,13,Golden,Pawsitive Outcomes Rescue,Danstad,Maine,05/30/24 04:31:00
John,Dog,Rottweiler,2,Spotted,Rescue Me Animal Shelter,Dudleyview,New Mexico,05/30/24 04:34:38
Lisa,Dog,Beagle,12,Golden,Hopeful Hearts Animal Shelter,East Maria,Massachusetts,05/30/24 04:37:41
Nancy,Cat,Siamese,7,Striped,Furever Friends Sanctuary,New Carla,Ohio,05/30/24 04:55:35
Sharon,Dog,Bulldog,3,Spotted,Animal Haven Rescue,South Ericmouth,Pennsylvania,05/30/24 05:04:15
Drew,Cat,Maine Coon,12,Blue,Four-Legged Friends Rescue,Harmonfort,Oklahoma,05/30/24 05:16:53
Ashlee,Cat,Maine Coon,10,Gray,Furever Friends Sanctuary,West Matthewton,Maryland,05/30/24 05:44:09
Madison,Dog,Yorkshire Terrier,12,Black,Pet Haven Rescue,West Alexbury,Wyoming,05/30/24 05:45:14
Robin,Cat,Sphynx,4,Red,Second Chance Animal Shelter,Port Sarahshire,Virginia,05/30/24 05:48:26
James,Dog,Labrador Retriever,10,Cream,Furry Companions Shelter,Lake Brian,Ohio,05/30/24 06:18:13
Michael,Cat,Maine Coon,14,Brown,Whiskers and Tails Sanctuary,Shawhaven,South Carolina,05/30/24 06:23:04
Andrew,Cat,Birman,1,Black,Pawsitive Outcomes Rescue,North Timothyburgh,North Dakota,05/30/24 06:40:36
Emily,Cat,Persian,9,Spotted,Happy Paws Rescue,Lake Juanside,Kansas,05/30/24 06:57:31
Hailey,Cat,Siamese,13,Blue,Furry Friends Haven,East Angelamouth,New Hampshire,05/30/24 07:01:25
Kelli,Cat,Abyssinian,12,Black,Paws and Claws Shelter,Karenport,Virginia,05/30/24 07:10:07
Amy,Dog,German Shepherd,12,Brown,Safe Haven Animal Shelter,Ramirezborough,Utah,05/30/24 07:12:18
Susan,Dog,Boxer,11,Red,Cuddle Buddies Rescue,Williamsborough,Illinois,05/30/24 07:37:24
Aaron,Cat,Persian,13,Cream,Loving Paws Rescue,East Jenniferville,Iowa,05/30/24 08:11:28
Amanda,Dog,Bulldog,7,Black,Furry Companions Shelter,Steinmouth,Texas,05/30/24 08:32:08
Robert,Cat,Maine Coon,4,Brown,Safe Haven Animal Shelter,South Angela,Minnesota,05/30/24 09:04:02
Danny,Cat,British Shorthair,15,Black,Fur-Ever Homes Shelter,Hillmouth,Kansas,05/30/24 10:00:49
Andrew,Dog,Yorkshire Terrier,8,Blue,Loving Paws Rescue,Annfurt,Utah,05/30/24 10:04:01
Jennifer,Cat,Ragdoll,6,Gray,Safe Haven Animal Shelter,Port Ericmouth,Minnesota,05/30/24 10:32:59
Kelly,Dog,Beagle,9,Cream,Wagging Tails Shelter,East James,Vermont,05/30/24 10:47:12
